Server Started


Total Message Transfer Run Time: 4.8104941844940186 seconds
         196267 function calls (191236 primitive calls) in 66.997 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:80(_Feature)
       10    0.000    0.000    0.000    0.000 __future__.py:81(__init__)
       11    0.000    0.000    0.147    0.013 __init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:10(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1038(StreamHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:104(PEP440Warning)
        1    0.000    0.000    0.000    0.000 __init__.py:1047(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1091(ServicerContext)
        1    0.000    0.000    0.000    0.000 __init__.py:1093(ExtractionError)
        1    0.000    0.000    0.000    0.000 __init__.py:1109(ResourceManager)
        1    0.000    0.000    0.000    0.000 __init__.py:1113(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1121(FileHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1190(_StderrHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1196(__init__)
        4    0.000    0.000    0.000    0.000 __init__.py:121(_declare_state)
        1    0.000    0.000    0.000    0.000 __init__.py:1214(PlaceHolder)
        3    0.000    0.000    0.000    0.000 __init__.py:1220(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1256(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1261(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1266(RpcMethodHandler)
        7    0.000    0.000    0.000    0.000 __init__.py:1272(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1302(HandlerCallDetails)
       18    0.000    0.000    0.000    0.000 __init__.py:1302(safe_name)
       18    0.000    0.000    0.000    0.000 __init__.py:1310(safe_version)
        1    0.000    0.000    0.000    0.000 __init__.py:1311(GenericRpcHandler)
        7    0.000    0.000    0.000    0.000 __init__.py:1323(_fixupParents)
        1    0.000    0.000    0.000    0.000 __init__.py:1328(ServiceRpcHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1347(_fixupChildren)
        1    0.000    0.000    0.000    0.000 __init__.py:1351(ServerInterceptor)
        1    0.000    0.000    0.000    0.000 __init__.py:1368(NullProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:1377(Logger)
        1    0.000    0.000    0.000    0.000 __init__.py:1379(Server)
       10    0.000    0.000    0.000    0.000 __init__.py:1391(_get_metadata_path)
        8    0.000    0.000    0.000    0.000 __init__.py:1392(__init__)
        9    0.000    0.000    0.000    0.000 __init__.py:1394(has_metadata)
        1    0.000    0.000    0.182    0.182 __init__.py:14(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1401(get_metadata)
        1    0.000    0.000    0.000    0.000 __init__.py:1414(get_metadata_lines)
       10    0.000    0.000    0.000    0.000 __init__.py:1470(_fn)
       10    0.000    0.000    0.000    0.000 __init__.py:1476(_validate_resource_path)
        2    0.000    0.000    0.001    0.000 __init__.py:1491(unary_unary_rpc_method_handler)
        1    0.000    0.000    0.131    0.131 __init__.py:15(<module>)
        6    0.000    0.000    0.000    0.000 __init__.py:15(search_path)
        1    0.000    0.000    0.000    0.000 __init__.py:1571(method_handlers_generic_handler)
        1    0.000    0.000    0.000    0.000 __init__.py:1573(EggProvider)
        2    0.000    0.000    0.000    0.000 __init__.py:1589(addHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1593(DefaultProvider)
        9    0.000    0.000    0.000    0.000 __init__.py:1596(_has)
        1    0.000    0.000    0.000    0.000 __init__.py:1608(_get)
        1    0.000    0.000    0.003    0.003 __init__.py:161(get_supported_platform)
        1    0.000    0.000    0.000    0.000 __init__.py:1612(_register)
        1    0.000    0.000    0.000    0.000 __init__.py:1623(EmptyProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:1636(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1643(ZipManifests)
        1    0.000    0.000    0.000    0.000 __init__.py:1670(MemoizedZipManifests)
        1    0.000    0.000    0.000    0.000 __init__.py:1690(ZipProvider)
        1    0.000    0.000    0.008    0.008 __init__.py:17(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1731(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1737(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1748(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 __init__.py:1764(LocalConnectionType)
        1    0.000    0.000    0.000    0.000 __init__.py:1865(FileMetadata)
       11    0.000    0.000    0.000    0.000 __init__.py:189(_checkLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:1896(basicConfig)
        1    0.000    0.000    0.000    0.000 __init__.py:1906(PathMetadata)
       18    0.000    0.000    0.000    0.000 __init__.py:1926(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1931(EggMetadata)
        4    0.000    0.000    0.000    0.000 __init__.py:1949(register_finder)
       12    0.000    0.000    0.000    0.000 __init__.py:1959(find_distributions)
        1    0.000    0.000    0.004    0.004 __init__.py:1979(server)
        2    0.000    0.000    0.000    0.000 __init__.py:1996(find_nothing)
       10    0.000    0.000    0.005    0.000 __init__.py:2003(_by_version_descending)
        7    0.000    0.000    0.000    0.000 __init__.py:2006(getLogger)
       18    0.000    0.000    0.002    0.000 __init__.py:2018(_by_version)
       18    0.000    0.000    0.002    0.000 __init__.py:2024(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:2025(Compression)
       28    0.000    0.000    0.009    0.000 __init__.py:2029(find_on_path)
      682    0.000    0.000    0.002    0.000 __init__.py:2041(<genexpr>)
       28    0.000    0.000    0.003    0.000 __init__.py:2049(<genexpr>)
      690    0.000    0.000    0.001    0.000 __init__.py:2064(dist_factory)
        1    0.000    0.000    0.000    0.000 __init__.py:207(ChannelConnectivity)
        1    0.000    0.000    0.000    0.000 __init__.py:2084(NoDists)
      654    0.000    0.000    0.000    0.000 __init__.py:2092(__bool__)
       10    0.000    0.000    0.001    0.000 __init__.py:2099(safe_listdir)
       36    0.000    0.000    0.002    0.000 __init__.py:2115(distributions_from_metadata)
        1    0.000    0.000    0.000    0.000 __init__.py:2135(NullHandler)
       15    0.000    0.000    0.000    0.000 __init__.py:214(_acquireLock)
        1    0.000    0.000    0.000    0.000 __init__.py:2151(createLock)
        4    0.000    0.000    0.000    0.000 __init__.py:2164(register_namespace_handler)
       12    0.000    0.000    0.001    0.000 __init__.py:2182(_handle_ns)
       15    0.000    0.000    0.000    0.000 __init__.py:223(_releaseLock)
      5/3    0.000    0.000    0.001    0.000 __init__.py:2251(declare_namespace)
        1    0.000    0.000    0.000    0.000 __init__.py:227(StatusCode)
        9    0.000    0.000    0.000    0.000 __init__.py:2285(fixup_namespace_packages)
        2    0.000    0.000    0.000    0.000 __init__.py:2297(file_ns_handler)
       10    0.000    0.000    0.000    0.000 __init__.py:23(find_module)
        8    0.000    0.000    0.001    0.000 __init__.py:2324(normalize_path)
        8    0.000    0.000    0.000    0.000 __init__.py:2330(_cygwin_patch)
       68    0.000    0.000    0.001    0.000 __init__.py:2341(_normalize_cached)
        1    0.000    0.000    0.000    0.000 __init__.py:235(ResolutionError)
       10    0.000    0.000    0.000    0.000 __init__.py:2364(_is_unpacked_egg)
        2    0.000    0.000    0.000    0.000 __init__.py:2382(yield_lines)
        1    0.000    0.000    0.001    0.001 __init__.py:2411(EntryPoint)
        1    0.000    0.000    0.000    0.000 __init__.py:242(VersionConflict)
        2    0.000    0.000    0.000    0.000 __init__.py:244(_register_at_fork_reinit_lock)
        1    0.000    0.000    0.000    0.000 __init__.py:2556(Distribution)
       18    0.000    0.000    0.001    0.000 __init__.py:2560(__init__)
       18    0.000    0.000    0.001    0.000 __init__.py:2573(from_location)
       18    0.000    0.000    0.000    0.000 __init__.py:2590(_reload_version)
       54    0.000    0.000    0.000    0.000 __init__.py:2632(key)
        1    0.000    0.000    0.000    0.000 __init__.py:272(LogRecord)
        1    0.000    0.000    0.000    0.000 __init__.py:274(ContextualVersionConflict)
       10    0.000    0.000    0.000    0.000 __init__.py:2760(_get_metadata)
        9    0.000    0.000    0.001    0.000 __init__.py:2771(activate)
       28    0.000    0.000    0.000    0.000 __init__.py:2807(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:282(Status)
        9    0.000    0.000    0.000    0.000 __init__.py:2861(insert_on)
        1    0.000    0.000    0.000    0.000 __init__.py:287(DistributionNotFound)
        9    0.000    0.000    0.000    0.000 __init__.py:2887(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:2972(EggInfoDistribution)
        1    0.000    0.000    0.000    0.000 __init__.py:298(RpcError)
        1    0.000    0.000    0.000    0.000 __init__.py:2991(DistInfoDistribution)
        1    0.000    0.000    0.000    0.000 __init__.py:305(RpcContext)
        1    0.000    0.000    0.000    0.000 __init__.py:3083(RequirementParseError)
        1    0.000    0.000    0.000    0.000 __init__.py:3087(Requirement)
       25    0.001    0.000    0.003    0.000 __init__.py:313(namedtuple)
       14    0.000    0.000    0.000    0.000 __init__.py:3139(_always_object)
        1    0.000    0.000    0.000    0.000 __init__.py:314(UnknownExtra)
       14    0.000    0.000    0.000    0.000 __init__.py:3149(_find_adapter)
        2    0.000    0.000    0.010    0.005 __init__.py:3221(_call_aside)
        1    0.000    0.000    0.000    0.000 __init__.py:3226(_initialize)
       14    0.000    0.000    0.000    0.000 __init__.py:3231(<genexpr>)
        1    0.000    0.000    0.010    0.010 __init__.py:3238(_initialize_master_working_set)
       10    0.000    0.000    0.001    0.000 __init__.py:3264(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:3278(PkgResourcesDeprecationWarning)
        4    0.000    0.000    0.000    0.000 __init__.py:328(register_loader_type)
        1    0.000    0.000    0.000    0.000 __init__.py:33(<module>)
        3    0.000    0.000    0.045    0.015 __init__.py:35(load_module)
        1    0.000    0.000    0.000    0.000 __init__.py:351(_macos_vers)
        1    0.000    0.000    0.000    0.000 __init__.py:355(Call)
        1    0.000    0.000    0.000    0.000 __init__.py:36(FutureTimeoutError)
        1    0.000    0.000    0.003    0.003 __init__.py:371(get_build_platform)
      139    0.000    0.000    0.000    0.000 __init__.py:385(<genexpr>)
        2    0.000    0.000    0.010    0.005 __init__.py:4(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:4(VendorImporter)
        1    0.000    0.000    0.000    0.000 __init__.py:40(FutureCancelledError)
        1    0.000    0.000    0.003    0.003 __init__.py:40(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:406(ClientCallDetails)
        1    0.000    0.000    0.001    0.001 __init__.py:413(PercentStyle)
        2    0.000    0.000    0.000    0.000 __init__.py:420(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:424(UnaryUnaryClientInterceptor)
        2    0.000    0.000    0.000    0.000 __init__.py:426(validate)
        1    0.000    0.000    0.000    0.000 __init__.py:44(Future)
        1    0.000    0.000    0.001    0.001 __init__.py:441(StrFormatStyle)
